ID Usuario,Edad,Genero,Fecha,Localidad,Plataforma,Dispositivo,Sistema Operativo,Conexion Exitosa
2080154,35,M,21/11/2023,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
2080154,49,M,19/01/2024,"San Juan, San Juan",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
2080154,49,M,18/10/2024,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,0
2080154,49,M,30/04/2024,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.3,0
2080154,35,M,11/10/2024,"San Juan, San Juan",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
2080154,28,F,21/07/2024,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 3.0,1
2080154,59,M,08/08/2024,"San Juan, San Juan",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,0
2080154,59,M,07/02/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3.2,0
2080154,59,M,15/06/2024,"San Juan, San Juan",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
2080154,35,M,19/10/2024,"San Juan, San Juan",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,1
2080154,28,F,19/11/2023,"San Juan, San Juan",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,0
2080154,59,M,27/09/2024,"San Juan, San Juan",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
2080154,28,F,07/02/2024,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2080154,49,M,20/10/2024,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 2.3.2,0
2080154,28,F,10/04/2024,"San Juan, San Juan",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
2080154,28,F,18/12/2023,"San Juan, San Juan",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
2080154,35,M,24/04/2024,"San Juan, San Juan",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
2080154,49,M,09/04/2024,"San Juan, San Juan",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,0
2080154,35,M,16/01/2024,"San Juan, San Juan",Paramount+,"Smart TV 55"" UHD 4K",Tizen 2.2.1,0
2080154,35,M,11/09/2024,"San Juan, San Juan",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
2080154,35,M,25/08/2024,"San Juan, San Juan",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,1
2080154,59,M,01/09/2024,"San Juan, San Juan",HBO Max,"Smart TV 55"" HD LED",Tizen 2.3,1
2080154,28,F,27/02/2024,"San Juan, San Juan",Disney+,"Smart TV 55"" UHD 4K",Tizen 3.0,0
2080154,28,F,12/03/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
2080154,59,M,01/11/2024,"San Juan, San Juan",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
2080154,49,M,06/12/2023,"San Juan, San Juan",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
2080154,49,M,21/03/2024,"San Juan, San Juan",Netflix,"Smart TV 55"" UHD 4K",Tizen 2.3.2,1
2080154,35,M,07/03/2024,"San Juan, San Juan",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,1
2080154,59,M,16/11/2023,"San Juan, San Juan",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.3,0
2080154,49,M,15/06/2024,"San Juan, San Juan",Paramount+,"Smart TV 55"" UHD 4K",Tizen 2.3,1
2080154,35,M,09/05/2024,"San Juan, San Juan",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
4755337,45,M,06/10/2024,"Buenos Aires, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
4755337,32,M,07/02/2024,"Buenos Aires, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3.2,0
4755337,32,M,27/05/2024,"Buenos Aires, Buenos Aires",Paramount+,"Smart TV 40"" FHD",Tizen 3.0,1
4755337,32,M,08/12/2023,"Buenos Aires, Buenos Aires",Netflix,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
4755337,34,F,24/07/2024,"Buenos Aires, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 4.0,1
4755337,32,M,03/06/2024,"Buenos Aires, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 3.0,1
4755337,34,F,24/07/2024,"Buenos Aires, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,1
4755337,32,M,17/07/2024,"Buenos Aires, Buenos Aires",Paramount+,"Smart TV 40"" FHD",Tizen 2.3.2,0
4755337,21,F,31/03/2024,"Buenos Aires, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 2.3,1
4755337,21,F,18/12/2023,"Buenos Aires, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
4755337,32,M,19/03/2024,"Buenos Aires, Buenos Aires",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,0
4755337,34,F,24/03/2024,"Buenos Aires, Buenos Aires",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
4755337,32,M,20/08/2024,"Buenos Aires, Buenos Aires",HBO Max,"Smart TV 55"" HD LED",Tizen 2.3,1
4755337,32,M,02/07/2024,"Buenos Aires, Buenos Aires",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
4755337,45,M,23/09/2024,"Buenos Aires, Buenos Aires",HBO Max,"Smart TV 55"" HD LED",Tizen 2.2.1,0
4755337,34,F,19/11/2023,"Buenos Aires, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,0
5242861,55,M,22/01/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,0
5242861,30,M,02/10/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 4.0,1
5242861,55,M,09/03/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,0
5242861,35,M,07/07/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,1
5242861,35,M,09/04/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 3.0,0
5242861,35,M,24/07/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
5242861,52,F,30/10/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
5242861,30,M,13/08/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,0
5242861,55,M,03/09/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 2.3.2,0
5242861,30,M,07/06/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,0
5242861,35,M,12/06/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,0
5242861,30,M,25/06/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
5242861,30,M,05/12/2023,"La Plata, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 2.3,1
5242861,35,M,31/08/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,0
5242861,52,F,22/05/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
5242861,52,F,30/04/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,1
5242861,30,M,20/04/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
5242861,55,M,31/08/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 2.3.2,1
5242861,55,M,09/08/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,1
5242861,35,M,28/07/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,0
5242861,52,F,18/10/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
5242861,30,M,14/12/2023,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
5242861,30,M,08/10/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 3.0,1
5242861,30,M,21/04/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
5242861,55,M,01/01/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,0
5242861,52,F,08/11/2023,"La Plata, Buenos Aires",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
5242861,30,M,27/04/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,1
5242861,52,F,03/07/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,0
5242861,55,M,08/03/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 4.0,1
5242861,30,M,04/01/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,0
5242861,52,F,31/05/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,1
5242861,55,M,24/05/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 55"" HD LED",Tizen 4.0,0
5242861,52,F,11/04/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,1
5242861,55,M,07/04/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 4.0,0
5242861,35,M,16/05/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 55"" HD LED",Tizen 2.2.1,1
5242861,30,M,08/07/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
5242861,55,M,02/02/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 3.0,1
5242861,30,M,05/01/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,1
5242861,35,M,30/09/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,1
5242861,55,M,28/02/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
5242861,52,F,19/12/2023,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
5242861,35,M,09/04/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,0
5242861,55,M,15/12/2023,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,1
5242861,52,F,13/07/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
5242861,30,M,19/03/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 55"" HD LED",Tizen 2.3,1
5242861,52,F,28/03/2024,"La Plata, Buenos Aires",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
5242861,30,M,18/08/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
5242861,55,M,02/10/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
5242861,52,F,30/08/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 2.2.1,0
5242861,35,M,02/10/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 4.0,0
5242861,35,M,28/02/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
5242861,30,M,15/03/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
5242861,55,M,07/03/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,0
5242861,52,F,24/04/2024,"La Plata, Buenos Aires",Netflix,"Smart TV 55"" HD LED",Tizen 2.2.1,1
5242861,52,F,29/11/2023,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 2.2.1,1
5242861,55,M,08/03/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
5242861,52,F,20/06/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,0
5242861,35,M,07/10/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,1
5242861,30,M,10/05/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 2.3.2,1
5242861,30,M,16/05/2024,"La Plata, Buenos Aires",Paramount+,"Smart TV 55"" HD LED",Tizen 4.0,0
5242861,35,M,22/03/2024,"La Plata, Buenos Aires",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
5242861,55,M,22/01/2024,"La Plata, Buenos Aires",Disney+,"Smart TV 55"" HD LED",Tizen 2.3.2,1
3620437,29,M,02/05/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
3620437,58,M,28/12/2023,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3,0
3620437,58,M,11/01/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,1
3620437,29,M,26/10/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 55"" UHD 4K",Tizen 2.3,0
3620437,58,M,15/10/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
3620437,57,M,18/12/2023,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
3620437,29,M,23/05/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,0
3620437,31,M,22/04/2024,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 55"" UHD 4K",Tizen 2.3,1
3620437,29,M,09/12/2023,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
3620437,31,M,18/02/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 40"" FHD",Tizen 4.0,1
3620437,58,M,17/07/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,1
3620437,57,M,03/10/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
3620437,29,M,26/10/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,0
3620437,31,M,27/05/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 40"" FHD",Tizen 2.2.1,0
3620437,31,M,10/03/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,0
3620437,29,M,15/06/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
3620437,29,M,28/04/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
3620437,57,M,27/04/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 40"" FHD",Tizen 2.3,0
3620437,57,M,24/02/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 40"" FHD",Tizen 2.3,0
3620437,57,M,15/08/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
3620437,58,M,22/03/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,1
3620437,29,M,22/12/2023,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 40"" FHD",Tizen 2.3.2,0
3620437,57,M,29/11/2023,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
3620437,57,M,05/01/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,1
3620437,58,M,21/12/2023,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,0
3620437,58,M,26/11/2023,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
3620437,58,M,03/09/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 40"" FHD",Tizen 3.0,1
3620437,31,M,27/12/2023,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 40"" FHD",Tizen 4.0,1
3620437,29,M,25/12/2023,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
3620437,29,M,02/06/2024,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 40"" FHD",Tizen 2.3,0
3620437,58,M,10/08/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 3.0,1
3620437,57,M,27/04/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 40"" FHD",Tizen 3.0,1
3620437,58,M,07/11/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 40"" FHD",Tizen 2.3,0
3620437,58,M,18/05/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,0
3620437,29,M,01/12/2023,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 40"" FHD",Tizen 4.0,0
3620437,57,M,04/02/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 55"" UHD 4K",Tizen 3.0,1
3620437,29,M,04/09/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.3,0
3620437,31,M,07/12/2023,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.2.1,1
3620437,57,M,22/09/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,1
3620437,58,M,10/01/2024,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 40"" FHD",Tizen 3.0,0
3620437,29,M,30/11/2023,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 40"" FHD",Tizen 2.3,1
3620437,31,M,17/09/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 40"" FHD",Tizen 4.0,1
3620437,57,M,06/09/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
3620437,58,M,04/12/2023,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
3620437,31,M,07/07/2024,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.2.1,0
3620437,29,M,23/06/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,0
3620437,29,M,31/10/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,1
3620437,31,M,30/04/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 3.0,0
3620437,31,M,19/02/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,1
3620437,29,M,14/10/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 40"" FHD",Tizen 2.3,1
3620437,29,M,23/12/2023,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 40"" FHD",Tizen 2.2.1,1
3620437,58,M,13/05/2024,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 55"" UHD 4K",Tizen 2.2.1,0
3620437,29,M,08/12/2023,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 55"" UHD 4K",Tizen 2.3,0
3620437,58,M,28/11/2023,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 55"" UHD 4K",Tizen 2.3,1
3620437,29,M,02/09/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.3.2,0
3620437,31,M,29/05/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 55"" UHD 4K",Tizen 2.3,0
3620437,29,M,23/02/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 40"" FHD",Tizen 2.3.2,0
3620437,57,M,09/09/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 2.2.1,1
3620437,58,M,08/07/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,1
3620437,58,M,07/04/2024,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 4.0,0
3620437,29,M,08/12/2023,"San Miguel de Tucumán, Tucumán",HBO Max,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3.2,0
3620437,31,M,23/07/2024,"San Miguel de Tucumán, Tucumán",Netflix,"Smart TV 40"" FHD",Tizen 4.0,0
3620437,29,M,04/06/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 40"" FHD",Tizen 3.0,0
3620437,31,M,18/05/2024,"San Miguel de Tucumán, Tucumán",Disney+,"Smart TV 55"" UHD 4K",Tizen 4.0,0
3620437,31,M,25/05/2024,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 75"" Neo QLED 4K QN85C",Tizen 2.3,0
3620437,58,M,23/11/2023,"San Miguel de Tucumán, Tucumán",Paramount+,"Smart TV 40"" FHD",Tizen 2.3.2,1
3620437,58,M,05/01/2024,"San Miguel de Tucumán, Tucumán",Amazon Prime,"Smart TV 65"" OLED 4K S90C",Tizen 4.0,0
